Tarih,PM10,SO2,CO,NO2,NOX,NO
1/1/2020,21.41700792,4.62983255,605.9880958,31.84961117,46.94554261,15.095931
1/2/2020,20.47707658,5.9338566,800.39335,47.03854167,77.53395707,30.49541613
1/3/2020,38.25321083,6.401385458,911.2993833,51.61255625,98.9446911,47.33213654
1/4/2020,35.53445888,6.913495625,952.6465,48.41050708,82.66360476,34.25309542
1/5/2020,39.67083375,6.34328225,1056.357483,47.68311292,91.55346077,43.87034325
1/6/2020,75.23322875,11.17238763,1531.367717,64.0176625,171.7715995,107.7539394
1/7/2020,124.2979071,18.19544338,2018.308662,84.57318875,264.8547582,180.2815675
1/8/2020,66.62213125,8.827865583,1155.928021,59.63570542,114.5462482,54.91054571
1/9/2020,22.31774133,5.755142391,609.9138217,29.85163517,42.4245394,12.57290309
1/10/2020,28.52259833,7.077509875,812.8459375,41.13749875,64.23198349,23.09448492
1/11/2020,51.91184375,9.602152625,1447.823496,61.02760542,148.7896969,87.76208833
1/12/2020,47.57661083,8.691435292,1148.673425,56.86801167,103.1184669,46.25045833
1/13/2020,24.85171338,6.323833792,782.3127625,39.957193,65.37622283,25.41902954
1/14/2020,62.72055967,8.688358833,1508.882554,64.65336333,184.0240015,119.3706341
1/15/2020,48.28050042,6.355175458,1028.678717,55.442085,118.9878938,63.54580767
1/16/2020,39.97222333,6.101478292,1141.740017,55.63746125,125.9940413,70.35658225
1/17/2020,61.61840167,6.803553792,1180.227125,64.1472975,161.2938296,97.14652767
1/18/2020,38.61492375,6.452719417,873.5745708,49.422445,75.72936429,26.30692058
1/19/2020,31.42615542,6.509803917,763.1023917,41.51718292,60.23184542,18.71466229
1/20/2020,35.97248458,6.940438273,817.0574833,43.68159042,67.94364229,24.26205467
1/21/2020,24.21060875,6.176396583,639.2280792,30.40530125,42.07089449,11.6655931
1/22/2020,29.22588125,7.855906522,787.6635875,39.52279182,57.39467297,17.87188041
1/23/2020,39.10199875,8.451264913,824.3833565,44.15501696,74.76996043,30.61494526
1/24/2020,22.06995292,7.392026667,702.379225,41.46250079,67.08779041,25.6252884
1/25/2020,55.64098583,8.403525083,1266.009412,65.94126,158.5258807,92.58462592
1/26/2020,76.16581417,10.79239283,1539.709154,79.29672417,188.0369314,108.7402122
1/27/2020,93.37031083,12.76574613,1684.703096,89.56287125,234.9962061,145.4333314
1/28/2020,125.0984921,18.42395333,2054.098438,93.23531208,297.7463675,204.5110494
1/29/2020,70.44046083,9.825439708,1271.918879,60.65785583,146.7215496,86.06369825
1/30/2020,65.09551333,10.33108208,1101.499663,60.24022375,106.6267021,46.38647925
1/31/2020,24.28092267,3.502140958,622.2614958,34.52317083,45.67733913,11.1541695
2/1/2020,33.17562117,6.672706042,948.632225,49.14377,86.43319978,37.289431
2/2/2020,50.43382304,9.147004292,1278.088163,61.17047208,132.0188187,70.84834475
2/3/2020,74.96726417,10.96055304,1226.389738,68.88757818,169.2073419,100.319764
2/4/2020,23.31920638,4.050433417,703.9991083,,,
2/5/2020,57.95339625,9.990247708,1238.331217,69.84656375,162.2878522,92.44129988
2/6/2020,27.76253129,4.360382565,574.5607913,36.87007665,59.26475,22.394675
2/7/2020,18.58054717,3.112163958,701.8352042,43.295125,61.86350208,18.56837667
2/8/2020,16.46296525,2.874692917,641.0402333,32.99338808,45.31587042,12.32248263
2/9/2020,14.57853825,3.416154708,558.2059667,23.97400375,32.11696917,8.142965125
2/10/2020,21.17700587,6.335035417,693.4432708,44.87796625,67.37810682,22.50014188
2/11/2020,42.32065267,10.67723708,1083.031633,89.55802375,184.1465065,94.58848279
2/12/2020,66.39062292,9.055188458,1544.972321,112.3990829,250.6948481,138.2957763
2/13/2020,38.87606917,7.621748042,934.83755,75.74554708,138.8127242,63.06717258
2/14/2020,26.83860242,6.0603045,819.1077833,58.45006104,112.5748256,54.12476846
2/15/2020,120.9583121,10.57212946,1620.547617,99.30663083,247.4706263,148.1639871
2/16/2020,98.22792583,8.039800542,1109.847983,74.19033042,151.2618706,77.07153479
2/17/2020,71.44335957,6.061853091,921.9303174,64.90693304,130.5129524,65.60602217
2/18/2020,89.11974958,12.65622529,1455.491358,72.21224708,173.8993608,101.6871153
2/19/2020,133.7534358,13.65662287,1794.991779,87.35952958,228.2831571,140.923629
2/20/2020,89.055415,9.371365652,1366.874478,65.82700917,127.5674234,62.97518039
2/21/2020,69.22974167,6.184080542,1108.220463,50.87125208,75.50300012,24.631746
2/22/2020,38.85873375,4.705291583,932.4007042,41.88034333,49.64873576,7.768392658
2/23/2020,21.18318467,5.879857667,620.64455,33.91351625,40.89024099,6.976724438
2/24/2020,49.2739525,9.032503292,940.4502,55.10143667,115.2430201,60.14158008
2/25/2020,35.58834929,6.785977708,643.8893333,40.28171746,64.8650168,24.58330048
2/26/2020,64.37117458,10.31226238,1295.754129,74.08060958,182.7003384,108.6197289
2/27/2020,139.6529965,18.35353579,2116.150033,100.5463858,333.2113118,232.6649267
2/28/2020,49.81318875,6.048584792,832.401175,57.963965,99.5500272,41.58605962
2/29/2020,57.38959917,8.322277292,1155.216508,60.2678875,109.7016211,49.43373146
3/1/2020,21.77506371,6.132833167,506.7542042,30.31434208,35.82935252,5.515009929
3/2/2020,41.15774667,7.371301583,942.02195,49.34351542,100.0597008,50.71617953
3/3/2020,91.07859,11.47446109,1457.883075,87.40731958,213.9817054,126.5743813
3/4/2020,85.34982875,10.79198004,1373.959396,87.29403333,217.0016327,129.7075931
3/5/2020,100.0036567,12.88273939,1475.42773,99.70647957,256.5728242,156.866347
3/6/2020,60.06167167,7.380166333,863.6155792,73.95687958,120.6478326,46.69095537
3/7/2020,55.77529208,5.249872292,922.5531583,47.90655333,99.88521384,51.97866323
3/8/2020,65.60130292,5.532388292,1084.259917,62.22714208,132.7923043,70.5651595
3/9/2020,117.2998529,9.428846542,1509.883438,89.22204833,247.2087765,157.9867383
3/10/2020,68.40091125,4.531071542,624.1406875,68.95403667,120.221653,51.26761908
3/11/2020,39.64476292,2.752654958,505.8374833,40.86378425,51.83873983,10.97495486
3/12/2020,48.16189583,3.134541375,727.2294,42.35572583,52.94370897,10.58798342
3/13/2020,51.87749792,3.09175,834.9623833,44.79015083,56.5516098,11.76145823
3/14/2020,50.90228292,3.407664583,888.2334542,46.92994,72.66929929,25.73936112
3/15/2020,25.20239208,2.32214425,531.0984875,30.77630175,33.78272948,3.006427396
3/16/2020,22.46573542,3.708128042,541.6556875,33.57944,41.54074192,7.961301217
3/17/2020,17.88041863,4.464512591,487.397413,32.35499165,40.28474826,7.929757617
3/18/2020,19.20038917,5.279477292,507.3812125,35.17769583,42.6237985,7.4461025
3/19/2020,29.69405833,5.335921478,703.7997417,48.54596087,70.33910017,21.7931393
3/20/2020,23.72917625,5.691105167,576.2943667,37.13780917,46.38769893,9.249891292
3/21/2020,25.5287025,4.895765292,621.4081417,35.70499,42.48055313,6.775562208
3/22/2020,34.61885875,6.50996225,879.6103125,44.78837833,78.15754408,33.36915963
3/23/2020,41.27637667,5.426009083,774.3708292,52.5463725,77.80849878,25.26212775
3/24/2020,31.94161417,2.909698375,527.0967,34.8862175,40.63491355,5.74869625
3/25/2020,21.28799125,2.273022167,431.4004542,26.81050917,31.16463778,4.354128417
3/26/2020,22.11336879,3.15147325,537.3900375,31.01659208,35.86466934,4.848077833
3/27/2020,23.9431425,3.498178,562.1890792,30.82503458,36.18224826,5.357213958
3/28/2020,29.211205,1.870207333,516.7863583,24.16931792,27.32034044,3.151023667
3/29/2020,17.5455355,2.368927979,555.821125,25.80932208,28.35744763,2.548125167
3/30/2020,26.61744208,4.380296542,815.0731208,51.75878958,66.1500018,14.39121208
3/31/2020,53.58914292,5.148371625,897.6248208,63.56871542,88.60132824,25.03261567
4/1/2020,62.24677708,4.6857965,748.9389667,43.28369208,49.04105072,5.75735925
4/2/2020,36.1363425,3.415883043,510.5013333,27.98497696,32.2899338,4.304957783
4/3/2020,38.58277375,4.077610375,743.9424917,42.26102667,53.12013268,10.85910642
4/4/2020,23.08872104,3.794147917,633.62425,29.69930167,38.74305742,9.043755167
4/5/2020,38.47102667,3.990475792,795.0712208,34.3038325,42.38781928,8.083986083
4/6/2020,25.32838542,2.564334833,505.0202958,27.16180917,30.73809804,3.576287333
4/7/2020,16.41008,1.66973,476.5807,17.76262,19.0792233,1.316608
4/8/2020,33.00162542,2.504120667,577.6962083,27.54887375,34.06135137,6.512478458
4/9/2020,26.87856522,2.416299458,467.4299292,26.0446455,29.64640311,3.601758042
4/10/2020,29.79863583,3.116384167,657.3821917,32.13641667,38.06863225,5.932215833
4/11/2020,34.75929167,3.722799667,614.4680875,27.70543171,32.86876447,5.163332792
4/12/2020,59.7225,4.003399,874.1735,34.82805,36.8445873,2.016535
4/13/2020,29.13596739,3.965627917,631.2513083,44.21341625,60.45010132,16.23668329
4/14/2020,47.00206958,5.43764,1043.642988,66.36611208,111.6664249,45.30031754
4/15/2020,42.18110542,2.918807958,615.4983292,40.454,47.13572233,6.681722083
4/16/2020,21.02975288,2.222477043,527.3836333,27.88955061,31.85683684,3.967286522
4/17/2020,29.66887,4.86698,856.0688,33.92831,35.5666256,1.638311
4/18/2020,81.24921,12.29804,1657.601,74.14854,104.7796249,30.63109
4/19/2020,21.38754,1.547976,515.3116,14.72222,15.9229796,1.200764
4/20/2020,39.98857773,3.39602587,769.2768696,,,
4/21/2020,40.75891,1.379946,430.4915,,,
4/22/2020,31.26788,1.862061,538.2052,,,
4/23/2020,15.45288567,2.009838738,564.4950083,,,
4/24/2020,52.54054,3.316455,1212.071,,,
4/25/2020,26.15283,2.59649,973.7363,,,
4/26/2020,27.58427417,2.613791375,595.2350792,,,
4/27/2020,50.93508,3.746989,1005.562,,,
4/28/2020,26.51950783,2.687786583,505.9844583,,,
4/29/2020,29.51654,2.590661,1065.197,,,
4/30/2020,31.17566333,2.017843783,564.0069292,,,
5/1/2020,30.20215167,2.066337363,557.1417125,,,
5/2/2020,26.54776208,1.389877413,477.6712333,,,
5/3/2020,25.3945175,1.557736246,540.285225,,,
5/4/2020,20.84017088,1.613010717,618.8382792,,,
5/5/2020,24.36201167,1.113483954,501.8017125,,,
5/6/2020,21.09188,1.116249,413.0301,,,
5/7/2020,46.56275,3.188888,1412.605,,,
5/8/2020,24.21062,1.189899,407.3867,,,
5/9/2020,9.958241174,2.041231792,434.0553333,,,
5/10/2020,16.57484242,2.182219125,461.9720458,,,
5/11/2020,24.07148292,2.294596375,579.3131417,,,
5/12/2020,45.05504542,2.844760083,766.1712792,,,
5/13/2020,43.4608525,2.220721125,446.87095,,,
5/14/2020,34.6345825,1.445901522,440.7312792,,,
5/15/2020,38.23431826,2.321470333,648.6959917,,,
